n,naive_time_s,optimized_time_s,sieve_time_s,num_primes
10000,0.17501130001619458,0.0025366999907419086,0.00026760000037029386,1229
50000,3.885264399985317,0.01841919997241348,0.0013686000020243227,5133
100000,15.287157999991905,0.047465300012845546,0.00272459996631369,9592
500000,,0.4341753000044264,0.013834999990649521,41538
1000000,,1.1609587999992073,0.02740979997906834,78498
